time;V(Net-_U2-VO_);
0.064898;5.0115;
0.065898;4.99409;
0.066898;5.01151;
0.067898;4.99408;
0.068898;5.01151;
0.069898;4.99408;
0.070898;5.01151;
0.071898;4.99408;
0.072898;5.01151;
0.073898;4.99408;
0.074898;5.01151;
0.075898;4.99409;
0.076898;5.0115;
0.077898;4.9941;
0.078898;5.01148;
0.079898;4.99412;
0.080898;5.01147;
0.081898;4.99413;
0.082898;5.01145;
0.083898;4.99416;
0.084898;5.01143;
0.085898;4.99418;
0.086898;5.0114;
0.087898;4.99421;
0.088898;5.01137;
0.089898;4.99423;
0.090898;5.01134;
0.091898;4.99427;
0.092898;5.0113;
0.093898;4.99431;
0.094898;5.01127;
0.095898;4.99435;
0.096898;5.01123;
0.097898;4.99439;
0.098898;5.01118;
0.099898;4.99443;
0.100898;5.01113;
0.101898;4.99448;
0.102898;5.01108;
0.103898;4.99454;
0.104898;5.01103;
0.105898;4.99459;
0.106898;5.01097;
0.107898;4.99465;
0.108898;5.01091;
0.109898;4.99471;
0.110898;5.01085;
0.111898;4.99478;
0.112898;5.01078;
0.113898;4.99485;
0.114898;5.01071;
0.115898;4.99492;
0.116898;5.01064;
0.117898;4.99499;
0.118898;5.01056;
0.119898;4.99507;
0.120898;5.01049;
0.121898;4.99514;
0.122898;5.01041;
0.123898;4.99522;
0.124898;5.01033;
0.125898;4.99531;
0.126898;5.01025;
0.127898;4.99539;
0.128898;5.01016;
0.129898;4.99547;
0.130898;5.01008;
0.131898;4.99556;
0.132898;5.00999;
0.133898;4.99565;
0.134898;5.00989;
0.135898;4.99575;
0.136898;5.00979;
0.137898;4.99585;
0.138898;5.00969;
0.139898;4.99596;
0.140898;5.00959;
0.141898;4.99606;
0.142898;5.00948;
0.143898;4.99617;
0.144898;5.00937;
0.145898;4.99628;
0.146898;5.00926;
0.147898;4.9964;
0.148898;5.00914;
0.149898;4.99651;
0.150898;5.00902;
0.151898;4.99663;
0.152898;5.00891;
0.153898;4.99675;
0.154898;5.00879;
0.155898;4.99687;
0.156898;5.00866;
0.157898;4.997;
0.158898;5.00854;
0.159898;4.99712;
0.160898;5.00841;
0.161898;4.99725;
0.162898;5.00829;
0.163898;4.99738;
0.164898;5.00816;
0.165898;4.99751;
0.166898;5.00802;
0.167898;4.99764;
0.168898;5.00789;
0.169898;4.99778;
0.170898;5.00774;
0.171898;4.99792;
0.172898;5.0076;
0.173898;4.99807;
0.174898;5.00746;
0.175898;4.99821;
0.176898;5.00731;
0.177898;4.99836;
0.178898;5.00716;
0.179898;4.99851;
0.180898;5.00701;
0.181898;4.99867;
0.182898;5.00686;
0.183898;4.99882;
0.184898;5.00671;
0.185898;4.99897;
0.186898;5.00655;
0.187898;4.99913;
0.188898;5.0064;
0.189898;4.99928;
0.190898;5.00623;
0.191898;4.99944;
0.192898;5.00608;
0.193898;4.9996;
0.194898;5.00592;
0.195898;4.99976;
0.196898;5.00577;
0.197898;4.99991;
0.198898;5.00561;
0.199898;5.00007;
0.200898;5.00545;
0.201898;5.00023;
0.202898;5.00529;
0.203898;5.00039;
0.204898;5.00513;
0.205898;5.00055;
0.206898;5.00497;
0.207898;5.00071;
0.208898;5.00481;
0.209898;5.00087;
0.210898;5.00465;
0.211898;5.00103;
0.212898;5.00449;
0.213898;5.0012;
0.214898;5.00432;
0.215898;5.00136;
0.216898;5.00416;
0.217898;5.00152;
0.218898;5.004;
0.219898;5.00169;
0.220898;5.00383;
0.221898;5.00185;
0.222898;5.00367;
0.223898;5.00201;
0.224898;5.00351;
0.225898;5.00218;
0.226898;5.00335;
0.227898;5.00234;
0.228898;5.00318;
0.229898;5.0025;
0.230898;5.00302;
0.231898;5.00266;
0.232898;5.00286;
0.233898;5.00283;
0.234898;5.0027;
0.235898;5.00299;
0.236898;5.00254;
0.237898;5.00315;
0.238898;5.00237;
0.239898;5.00331;
0.240898;5.00221;
0.241898;5.00347;
0.242898;5.00206;
0.243898;5.00363;
0.244898;5.0019;
0.245898;5.00379;
0.246898;5.00174;
0.247898;5.00394;
0.248898;5.00158;
0.249898;5.0041;
0.250898;5.00142;
0.251898;5.00425;
0.252898;5.00127;
0.253898;5.00441;
0.254898;5.00111;
0.255898;5.00457;
0.256898;5.00096;
0.257898;5.00472;
0.258898;5.00081;
0.259898;5.00487;
0.260898;5.00066;
0.261898;5.00502;
0.262898;5.00051;
0.263898;5.00517;
0.264898;5.00036;
0.265898;5.00532;
0.266898;5.00021;
0.267898;5.00546;
0.268898;5.00007;
0.269898;5.00561;
0.270898;4.99992;
0.271898;5.00575;
0.272898;4.99978;
0.273898;5.00589;
0.274898;4.99964;
0.275898;5.00603;
0.276898;4.9995;
0.277898;5.00617;
0.278898;4.99936;
0.279898;5.00632;
0.280898;4.99921;
0.281898;5.00646;
0.282898;4.99908;
0.283898;5.00659;
0.284898;4.99895;
0.285898;5.00672;
0.286898;4.99881;
0.287898;5.00685;
0.288898;4.99868;
0.289898;5.00698;
0.290898;4.99855;
0.291898;5.00711;
0.292898;4.99842;
0.293898;5.00724;
0.294898;4.99831;
0.295898;5.00736;
0.296898;4.99818;
0.297898;5.00748;
0.298898;4.99806;
0.299898;5.0076;
0.300898;4.99794;
0.301898;5.00772;
0.302898;4.99783;
0.303898;5.00783;
0.304898;4.99772;
0.305898;5.00793;
0.306898;4.99762;
0.307898;5.00804;
0.308898;4.99751;
0.309898;5.00814;
0.310898;4.99741;
0.311898;5.00823;
0.312898;4.99732;
0.313898;5.00833;
0.314898;4.99722;
0.315898;5.00842;
0.316898;4.99713;
0.317898;5.00852;
0.318898;4.99704;
0.319898;5.00861;
0.320898;4.99695;
0.321898;5.00869;
0.322898;4.99686;
0.323898;5.00878;
0.324898;4.99678;
0.325898;5.00886;
0.326898;4.9967;
0.327898;5.00894;
0.328898;4.99662;
0.329898;5.00901;
0.330898;4.99654;
0.331898;5.00909;
0.332898;4.99647;
0.333898;5.00916;
0.334898;4.99641;
0.335898;5.00923;
0.336898;4.99634;
0.337898;5.00929;
0.338898;4.99627;
0.339898;5.00935;
0.340898;4.99621;
0.341898;5.00941;
0.342898;4.99616;
0.343898;5.00946;
0.344898;4.99611;
0.345898;5.00951;
0.346898;4.99606;
0.347898;5.00956;
0.348898;4.99602;
0.349898;5.0096;
0.350898;4.99597;
0.351898;5.00964;
0.352898;4.99593;
0.353898;5.00968;
0.354898;4.99589;
0.355898;5.00972;
0.356898;4.99586;
0.357898;5.00976;
0.358898;4.99582;
0.359898;5.0098;
0.360898;4.99578;
0.361898;5.00983;
0.362898;4.99575;
0.363898;5.00986;
0.364898;4.99573;
0.365898;5.00988;
0.366898;4.9957;
0.367898;5.00991;
0.368898;4.99568;
0.369898;5.00993;
0.370898;4.99566;
0.371898;5.00994;
0.372898;4.99564;
0.373898;5.00996;
0.374898;4.99563;
0.375898;5.00997;
0.376898;4.99562;
0.377898;5.00998;
0.378898;4.99561;
0.379898;5.00999;
0.380898;4.99561;
0.381898;5.00999;
0.382898;4.9956;
0.383898;5.00999;
0.384898;4.99561;
0.385898;5.00999;
0.386898;4.99561;
0.387898;5.00998;
0.388898;4.99562;
0.389898;5.00998;
0.390898;4.99562;
0.391898;5.00996;
0.392898;4.99564;
0.393898;5.00995;
0.394898;4.99565;
0.395898;5.00994;
0.396898;4.99567;
0.397898;5.00992;
0.398898;4.99569;
0.399898;5.0099;
0.400898;4.99571;
0.401898;5.00987;
0.402898;4.99573;
0.403898;5.00985;
0.404898;4.99576;
0.405898;5.00982;
0.406898;4.99579;
0.407898;5.00979;
0.408898;4.99583;
0.409898;5.00975;
0.410898;4.99586;
0.411898;5.00972;
0.412898;4.9959;
0.413898;5.00968;
0.414898;4.99594;
0.415898;5.00964;
0.416898;4.99598;
0.417898;5.00959;
0.418898;4.99603;
0.419898;5.00954;
0.420898;4.99608;
0.421898;5.00949;
0.422898;4.99613;
0.423898;5.00944;
0.424898;4.99618;
0.425898;5.00939;
0.426898;4.99624;
0.427898;5.00933;
0.428898;4.9963;
0.429898;5.00927;
0.430898;4.99636;
0.431898;5.00921;
0.432898;4.99642;
0.433898;5.00914;
0.434898;4.99649;
0.435898;5.00908;
0.436898;4.99656;
0.437898;5.00901;
0.438898;4.99663;
0.439898;5.00893;
0.440898;4.9967;
0.441898;5.00886;
0.442898;4.99678;
0.443898;5.00878;
0.444898;4.99686;
0.445898;5.0087;
0.446898;4.99694;
0.447898;5.00862;
0.448898;4.99702;
0.449898;5.00854;
0.450898;4.99709;
0.451898;5.00846;
0.452898;4.99718;
0.453898;5.00837;
0.454898;4.99727;
0.455898;5.00828;
0.456898;4.99736;
0.457898;5.00819;
0.458898;4.99745;
0.459898;5.0081;
0.460898;4.99754;
0.461898;5.00801;
0.462898;4.99763;
0.463898;5.00792;
0.464898;4.99773;
0.465898;5.00782;
0.466898;4.99783;
0.467898;5.00772;
0.468898;4.99793;
0.469898;5.00762;
0.470898;4.99803;
0.471898;5.00752;
0.472898;4.99813;
0.473898;5.00741;
0.474898;4.99824;
0.475898;5.00731;
0.476898;4.99835;
0.477898;5.0072;
0.478898;4.99846;
0.479898;5.00709;
0.480898;4.99857;
0.481898;5.00697;
0.482898;4.99868;
0.483898;5.00686;
0.484898;4.9988;
0.485898;5.00675;
0.486898;4.99891;
0.487898;5.00663;
0.488898;4.99903;
0.489898;5.00651;
0.490898;4.99915;
0.491898;5.00639;
0.492898;4.99927;
0.493898;5.00628;
0.494898;4.99939;
0.495898;5.00615;
0.496898;4.99951;
0.497898;5.00603;
0.498898;4.99963;
0.499898;5.00591;
0.500898;4.99975;
0.501898;5.00579;
0.502898;4.99987;
0.503898;5.00567;
0.504898;5;
0.505898;5.00554;
0.506898;5.00013;
0.507898;5.00541;
0.508898;5.00025;
0.509898;5.00529;
0.510898;5.00038;
0.511898;5.00516;
0.512898;5.00051;
0.513898;5.00503;
0.514898;5.00064;
0.515898;5.0049;
0.516898;5.00077;
0.517898;5.00476;
0.518898;5.00091;
0.519898;5.00463;
0.520898;5.00104;
0.521898;5.00449;
0.522898;5.00118;
0.523898;5.00436;
0.524898;5.00131;
0.525898;5.00423;
0.526898;5.00145;
0.527898;5.00409;
0.528898;5.00158;
0.529898;5.00395;
0.530898;5.00172;
0.531898;5.00381;
0.532898;5.00186;
0.533898;5.00368;
0.534898;5.00199;
0.535898;5.00354;
0.536898;5.00213;
0.537898;5.0034;
0.538898;5.00227;
0.539898;5.00327;
0.540898;5.0024;
0.541898;5.00313;
0.542898;5.00254;
0.543898;5.003;
0.544898;5.00268;
0.545898;5.00286;
0.546898;5.00281;
0.547898;5.00272;
0.548898;5.00295;
0.549898;5.00258;
0.550898;5.00308;
0.551898;5.00245;
0.552898;5.00322;
0.553898;5.00232;
0.554898;5.00335;
0.555898;5.00218;
0.556898;5.00349;
0.557898;5.00205;
0.558898;5.00362;
0.559898;5.00191;
0.560898;5.00375;
0.561898;5.00178;
0.562898;5.00389;
0.563898;5.00165;
0.564898;5.00401;
0.565898;5.00152;
0.566898;5.00414;
0.567898;5.00139;
0.568898;5.00427;
0.569898;5.00126;
0.570898;5.0044;
0.571898;5.00113;
0.572898;5.00453;
0.573898;5.00101;
0.574898;5.00465;
0.575898;5.00089;
0.576898;5.00478;
0.577898;5.00076;
0.578898;5.0049;
0.579898;5.00064;
0.580898;5.00503;
0.581898;5.00051;
0.582898;5.00515;
0.583898;5.0004;
0.584898;5.00527;
0.585898;5.00028;
0.586898;5.00538;
0.587898;5.00017;
0.588898;5.00549;
0.589898;5.00005;
0.590898;5.0056;
0.591898;4.99994;
0.592898;5.00571;
0.593898;4.99983;
0.594898;5.00582;
0.595898;4.99972;
0.596898;5.00593;
0.597898;4.99962;
0.598898;5.00604;
0.599898;4.99951;
0.600898;5.00614;
0.601898;4.99941;
0.602898;5.00624;
0.603898;4.99931;
0.604898;5.00635;
0.605898;4.99921;
0.606898;5.00645;
0.607898;4.99911;
0.608898;5.00654;
0.609898;4.99901;
0.610898;5.00664;
0.611898;4.99891;
0.612898;5.00673;
0.613898;4.99882;
0.614898;5.00682;
0.615898;4.99873;
0.616898;5.00691;
0.617898;4.99864;
0.618898;5.007;
0.619898;4.99855;
0.620898;5.00709;
0.621898;4.99847;
0.622898;5.00717;
0.623898;4.99839;
0.624898;5.00725;
0.625898;4.99831;
0.626898;5.00733;
0.627898;4.99823;
0.628898;5.00741;
0.629898;4.99815;
0.630898;5.00748;
0.631898;4.99808;
0.632898;5.00756;
0.633898;4.99801;
0.634898;5.00763;
0.635898;4.99794;
0.636898;5.0077;
0.637898;4.99786;
0.638898;5.00777;
0.639898;4.9978;
0.640898;5.00783;
0.641898;4.99774;
0.642898;5.00789;
0.643898;4.99768;
0.644898;5.00795;
0.645898;4.99762;
0.646898;5.00801;
0.647898;4.99757;
0.648898;5.00806;
0.649898;4.99751;
0.650898;5.00811;
0.651898;4.99746;
0.652898;5.00816;
0.653898;4.99741;
0.654898;5.00822;
0.655898;4.99736;
0.656898;5.00826;
0.657898;4.99731;
0.658898;5.00831;
0.659898;4.99727;
0.660898;5.00835;
0.661898;4.99722;
0.662898;5.00839;
0.663898;4.99719;
0.664898;5.00843;
0.665898;4.99715;
0.666898;5.00847;
0.667898;4.99711;
0.668898;5.0085;
0.669898;4.99708;
0.670898;5.00853;
0.671898;4.99705;
0.672898;5.00856;
0.673898;4.99702;
0.674898;5.00859;
0.675898;4.99699;
0.676898;5.00862;
0.677898;4.99697;
0.678898;5.00864;
0.679898;4.99695;
0.680898;5.00866;
0.681898;4.99693;
0.682898;5.00867;
0.683898;4.99692;
0.684898;5.00869;
0.685898;4.9969;
0.686898;5.0087;
0.687898;4.99689;
0.688898;5.00871;
0.689898;4.99688;
0.690898;5.00872;
0.691898;4.99687;
0.692898;5.00872;
0.693898;4.99687;
0.694898;5.00873;
0.695898;4.99687;
0.696898;5.00873;
0.697898;4.99687;
0.698898;5.00873;
0.699898;4.99687;
0.700898;5.00872;
0.701898;4.99688;
0.702898;5.00872;
0.703898;4.99689;
0.704898;5.00871;
0.705898;4.9969;
0.706898;5.0087;
0.707898;4.99691;
0.708898;5.00868;
0.709898;4.99692;
0.710898;5.00867;
0.711898;4.99693;
0.712898;5.00865;
0.713898;4.99695;
0.714898;5.00864;
0.715898;4.99698;
0.716898;5.00861;
0.717898;4.997;
0.718898;5.00859;
0.719898;4.99702;
0.720898;5.00856;
0.721898;4.99705;
0.722898;5.00853;
0.723898;4.99708;
0.724898;5.00851;
0.725898;4.99711;
0.726898;5.00847;
0.727898;4.99714;
0.728898;5.00844;
0.729898;4.99718;
0.730898;5.0084;
0.731898;4.99721;
0.732898;5.00836;
0.733898;4.99725;
0.734898;5.00833;
0.735898;4.9973;
0.736898;5.00828;
0.737898;4.99734;
0.738898;5.00824;
0.739898;4.99738;
0.740898;5.00819;
0.741898;4.99743;
0.742898;5.00814;
0.743898;4.99748;
0.744898;5.00809;
0.745898;4.99753;
0.746898;5.00804;
0.747898;4.99759;
0.748898;5.00798;
0.749898;4.99764;
0.750898;5.00793;
0.751898;4.9977;
0.752898;5.00787;
0.753898;4.99776;
0.754898;5.00781;
0.755898;4.99782;
0.756898;5.00775;
0.757898;4.99788;
0.758898;5.00768;
0.759898;4.99795;
0.760898;5.00761;
0.761898;4.99802;
0.762898;5.00755;
0.763898;4.99808;
0.764898;5.00748;
0.765898;4.99815;
0.766898;5.00741;
0.767898;4.99822;
0.768898;5.00734;
0.769898;4.99829;
0.770898;5.00727;
0.771898;4.99836;
0.772898;5.0072;
0.773898;4.99844;
0.774898;5.00713;
0.775898;4.99851;
0.776898;5.00705;
0.777898;4.99859;
0.778898;5.00697;
0.779898;4.99867;
0.780898;5.00689;
0.781898;4.99875;
0.782898;5.00681;
0.783898;4.99883;
0.784898;5.00673;
0.785898;4.99891;
0.786898;5.00665;
0.787898;4.99899;
0.788898;5.00656;
0.789898;4.99908;
0.790898;5.00647;
0.791898;4.99917;
0.792898;5.00638;
0.793898;4.99926;
0.794898;5.0063;
0.795898;4.99935;
0.796898;5.0062;
0.797898;4.99944;
0.798898;5.00611;
0.799898;4.99954;
0.800898;5.00601;
0.801898;4.99963;
0.802898;5.00592;
0.803898;4.99973;
0.804898;5.00583;
0.805898;4.99983;
0.806898;5.00573;
0.807898;4.99992;
0.808898;5.00563;
0.809898;5.00002;
0.810898;5.00553;
0.811898;5.00012;
0.812898;5.00543;
0.813898;5.00022;
0.814898;5.00533;
0.815898;5.00032;
0.816898;5.00523;
0.817898;5.00043;
0.818898;5.00512;
0.819898;5.00053;
0.820898;5.00502;
0.821898;5.00063;
0.822898;5.00492;
0.823898;5.00074;
0.824898;5.00481;
0.825898;5.00084;
0.826898;5.00471;
0.827898;5.00095;
0.828898;5.0046;
0.829898;5.00105;
0.830898;5.00449;
0.831898;5.00116;
0.832898;5.00439;
0.833898;5.00127;
0.834898;5.00428;
0.835898;5.00137;
0.836898;5.00418;
0.837898;5.00148;
0.838898;5.00407;
0.839898;5.00159;
0.840898;5.00396;
0.841898;5.0017;
0.842898;5.00385;
0.843898;5.00181;
0.844898;5.00375;
0.845898;5.00191;
0.846898;5.00364;
0.847898;5.00202;
0.848898;5.00353;
0.849898;5.00213;
0.850898;5.00342;
0.851898;5.00224;
0.852898;5.00331;
0.853898;5.00235;
0.854898;5.0032;
0.855898;5.00245;
0.856898;5.00309;
0.857898;5.00256;
0.858898;5.00298;
0.859898;5.00267;
0.860898;5.00287;
0.861898;5.00278;
0.862898;5.00277;
0.863898;5.00289;
0.864898;5.00266;
0.865898;5.00299;
0.866898;5.00256;
0.867898;5.0031;
0.868898;5.00245;
0.869898;5.00321;
0.870898;5.00234;
0.871898;5.00331;
0.872898;5.00224;
0.873898;5.00342;
0.874898;5.00213;
0.875898;5.00352;
0.876898;5.00203;
0.877898;5.00363;
0.878898;5.00192;
0.879898;5.00373;
0.880898;5.00182;
0.881898;5.00384;
0.882898;5.00171;
0.883898;5.00394;
0.884898;5.00161;
0.885898;5.00404;
0.886898;5.00151;
0.887898;5.00414;
0.888898;5.00141;
0.889898;5.00424;
0.890898;5.00131;
0.891898;5.00434;
0.892898;5.00121;
0.893898;5.00444;
0.894898;5.00111;
0.895898;5.00454;
0.896898;5.00102;
0.897898;5.00463;
0.898898;5.00092;
0.899898;5.00473;
0.900898;5.00082;
0.901898;5.00483;
0.902898;5.00073;
0.903898;5.00492;
0.904898;5.00064;
0.905898;5.00501;
0.906898;5.00055;
0.907898;5.0051;
0.908898;5.00045;
0.909898;5.00519;
0.910898;5.00036;
0.911898;5.00528;
0.912898;5.00027;
0.913898;5.00537;
0.914898;5.00019;
0.915898;5.00546;
0.916898;5.0001;
0.917898;5.00554;
0.918898;5.00002;
0.919898;5.00563;
0.920898;4.99993;
0.921898;5.00571;
0.922898;4.99985;
0.923898;5.00579;
0.924898;4.99977;
0.925898;5.00587;
0.926898;4.99969;
0.927898;5.00595;
0.928898;4.99961;
0.929898;5.00603;
0.930898;4.99954;
0.931898;5.0061;
0.932898;4.99946;
0.933898;5.00618;
0.934898;4.99939;
0.935898;5.00625;
0.936898;4.99932;
0.937898;5.00632;
0.938898;4.99925;
0.939898;5.00639;
0.940898;4.99918;
0.941898;5.00645;
0.942898;4.99912;
0.943898;5.00651;
0.944898;4.99906;
0.945898;5.00657;
0.946898;4.999;
0.947898;5.00663;
0.948898;4.99894;
0.949898;5.00669;
0.950898;4.99888;
0.951898;5.00674;
0.952898;4.99883;
0.953898;5.0068;
0.954898;4.99878;
0.955898;5.00685;
0.956898;4.99872;
0.957898;5.0069;
0.958898;4.99867;
0.959898;5.00695;
0.960898;4.99863;
0.961898;5.007;
0.962898;4.99858;
0.963898;5.00704;
0.964898;4.99853;
0.965898;5.00709;
0.966898;4.99849;
0.967898;5.00714;
0.968898;4.99844;
0.969898;5.00718;
0.970898;4.99839;
0.971898;5.00722;
0.972898;4.99836;
0.973898;5.00726;
0.974898;4.99832;
0.975898;5.0073;
0.976898;4.99828;
0.977898;5.00734;
0.978898;4.99824;
0.979898;5.00737;
0.980898;4.99821;
0.981898;5.00741;
0.982898;4.99818;
0.983898;5.00744;
0.984898;4.99815;
0.985898;5.00747;
0.986898;4.99812;
0.987898;5.00749;
0.988898;4.99809;
0.989898;5.00752;
0.990898;4.99807;
0.991898;5.00754;
0.992898;4.99805;
0.993898;5.00756;
0.994898;4.99803;
0.995898;5.00758;
0.996898;4.99801;
0.997898;5.0076;
0.998898;4.99799;
0.999898;5.00761;
1.0009;4.99798;
1.0019;5.00763;
1.0029;4.99797;
1.0039;5.00764;
1.0049;4.99796;
1.0059;5.00765;
1.0069;4.99795;
1.0079;5.00766;
1.0089;4.99794;
1.0099;5.00766;
1.0109;4.99793;
1.0119;5.00766;
1.0129;4.99793;
1.0139;5.00767;
1.0149;4.99793;
1.0159;5.00767;
1.0169;4.99793;
1.0179;5.00767;
1.0189;4.99793;
1.0199;5.00766;
1.0209;4.99794;
1.0219;5.00766;
1.0229;4.99794;
1.0239;5.00765;
1.0249;4.99795;
1.0259;5.00764;
1.0269;4.99796;
1.0279;5.00763;
1.0289;4.99797;
1.0299;5.00762;
1.0309;4.99799;
1.0319;5.0076;
1.0329;4.998;
1.0339;5.00759;
1.0349;4.99802;
1.0359;5.00757;
1.0369;4.99804;
1.0379;5.00755;
1.0389;4.99806;
1.0399;5.00753;
1.0409;4.99808;
1.0419;5.0075;
1.0429;4.9981;
1.0439;5.00748;
1.0449;4.99813;
1.0459;5.00746;
1.0469;4.99816;
1.0479;5.00743;
1.0489;4.99819;
1.0499;5.0074;
1.0509;4.99822;
1.0519;5.00736;
1.0529;4.99825;
1.0539;5.00733;
1.0549;4.99829;
1.0559;5.0073;
1.0569;4.99832;
1.0579;5.00726;
1.0589;4.99836;
1.0599;5.00722;
1.0609;4.9984;
1.0619;5.00718;
1.0629;4.99844;
1.0639;5.00714;
1.0649;4.99848;
1.0659;5.0071;
1.0669;4.99853;
1.0679;5.00705;
1.0689;4.99857;
1.0699;5.007;
1.0709;4.99862;
1.0719;5.00695;
1.0729;4.99867;
1.0739;5.00691;
1.0749;4.99872;
1.0759;5.00686;
1.0769;4.99877;
1.0779;5.0068;
1.0789;4.99883;
1.0799;5.00675;
1.0809;4.99888;
1.0819;5.00669;
1.0829;4.99894;
1.0839;5.00664;
1.0849;4.999;
1.0859;5.00658;
1.0869;4.99906;
1.0879;5.00651;
1.0889;4.99912;
1.0899;5.00645;
1.0909;4.99918;
1.0919;5.00639;
1.0929;4.99924;
1.0939;5.00632;
1.0949;4.99931;
1.0959;5.00626;
1.0969;4.99938;
1.0979;5.00619;
1.0989;4.99945;
1.0999;5.00612;
1.1009;4.99951;
1.1019;5.00605;
1.1029;4.99959;
1.1039;5.00598;
1.1049;4.99966;
1.1059;5.00591;
1.1069;4.99973;
1.1079;5.00584;
1.1089;4.9998;
1.1099;5.00577;
1.1109;4.99987;
1.1119;5.0057;
1.1129;4.99994;
1.1139;5.00562;
1.1149;5.00002;
1.1159;5.00555;
1.1169;5.00009;
1.1179;5.00548;
1.1189;5.00016;
1.1199;5.0054;
1.1209;5.00023;
1.1219;5.00533;
1.1229;5.00031;
1.1239;5.00526;
1.1249;5.00039;
1.1259;5.00517;
1.1269;5.00047;
1.1279;5.0051;
1.1289;5.00054;
1.1299;5.00502;
1.1309;5.00062;
1.1319;5.00495;
1.1329;5.00069;
1.1339;5.00487;
1.1349;5.00078;
1.1359;5.00478;
1.1369;5.00087;
1.1379;5.00469;
1.1389;5.00095;
1.1399;5.00462;
1.1409;5.00102;
1.1419;5.00453;
1.1429;5.00111;
1.1439;5.00445;
1.1449;5.0012;
1.1459;5.00436;
1.1469;5.00128;
1.1479;5.00428;
1.1489;5.00137;
1.1499;5.00419;
1.1509;5.00145;
1.1519;5.0041;
1.1529;5.00154;
1.1539;5.00402;
1.1549;5.00163;
1.1559;5.00393;
1.1569;5.00172;
1.1579;5.00384;
1.1589;5.0018;
1.1599;5.00376;
1.1609;5.00189;
1.1619;5.00367;
1.1629;5.00198;
1.1639;5.00358;
1.1649;5.00207;
1.1659;5.00349;
1.1669;5.00215;
1.1679;5.0034;
1.1689;5.00224;
1.1699;5.00332;
1.1709;5.00233;
1.1719;5.00323;
1.1729;5.00242;
1.1739;5.00314;
1.1749;5.00251;
1.1759;5.00305;
1.1769;5.00259;
1.1779;5.00296;
1.1789;5.00268;
1.1799;5.00288;
1.1809;5.00277;
1.1819;5.00279;
1.1829;5.00286;
1.1839;5.0027;
1.1849;5.00295;
1.1859;5.00262;
1.1869;5.00303;
1.1879;5.00253;
1.1889;5.00312;
1.1899;5.00244;
1.1909;5.0032;
1.1919;5.00235;
1.1929;5.00329;
1.1939;5.00227;
1.1949;5.00338;
1.1959;5.00219;
1.1969;5.00346;
1.1979;5.0021;
1.1989;5.00355;
1.1999;5.00201;
1.2009;5.00363;
1.2019;5.00193;
1.2029;5.00371;
1.2039;5.00185;
1.2049;5.0038;
1.2059;5.00177;
1.2069;5.00388;
1.2079;5.00168;
1.2089;5.00396;
1.2099;5.0016;
1.2109;5.00404;
1.2119;5.00152;
1.2129;5.00412;
1.2139;5.00144;
1.2149;5.0042;
1.2159;5.00136;
1.2169;5.00428;
1.2179;5.00129;
1.2189;5.00436;
1.2199;5.00121;
1.2209;5.00443;
